sentence_index,sink_score,sentence_length,length_group,rank,hit@1,hit@5,hit@10,sim_pos,sim_neg_top1,sim_margin
554,0.8666110038757324,11,Medium (9-11),1,1,1,1,30.082172,29.472124,0.6100483
555,0.8547452688217163,11,Medium (9-11),1,1,1,1,28.563822,28.305202,0.2586193
556,0.7265239357948303,24,Very Long (>14),1,1,1,1,31.647285,28.107151,3.5401344
557,0.9023421406745911,8,Short (<=8),23,0,0,0,25.620682,26.873987,-1.2533054
558,0.7927421927452087,15,Very Long (>14),1,1,1,1,26.765547,26.69087,0.07467651
559,0.5659099221229553,21,Very Long (>14),1,1,1,1,33.24458,27.449888,5.794691
560,0.6498630046844482,10,Medium (9-11),1,1,1,1,31.988585,31.803041,0.18554306
561,0.8135973215103149,6,Short (<=8),1,1,1,1,26.973894,26.843584,0.13031006
562,0.7056179642677307,14,Long (12-14),1,1,1,1,33.74975,31.384378,2.3653698
563,0.7682051658630371,7,Short (<=8),1,1,1,1,33.248447,25.900661,7.347786
564,0.7466649413108826,12,Long (12-14),4,0,1,1,29.23555,30.471207,-1.2356567
565,0.5906804800033569,8,Short (<=8),1,1,1,1,30.240536,28.63665,1.6038857
566,0.5934925079345703,17,Very Long (>14),1,1,1,1,33.828796,27.86187,5.9669266
567,0.8404420018196106,8,Short (<=8),5,0,1,1,26.504162,27.369272,-0.8651104
568,0.8105780482292175,13,Long (12-14),1,1,1,1,30.472422,28.961416,1.5110054
569,0.926141619682312,8,Short (<=8),1,1,1,1,26.40875,26.32199,0.086761475
570,0.8281048536300659,11,Medium (9-11),1,1,1,1,30.274952,27.853485,2.4214668
571,0.6623700261116028,17,Very Long (>14),1,1,1,1,29.57282,23.509594,6.0632267
572,0.823706328868866,8,Short (<=8),3,0,1,1,27.250788,29.153236,-1.9024487
573,0.8055627346038818,10,Medium (9-11),12,0,0,0,25.972116,28.027805,-2.0556889
574,0.7482215166091919,9,Medium (9-11),3,0,1,1,27.306656,27.569908,-0.26325226
575,0.5641780495643616,13,Long (12-14),2,0,1,1,29.028692,29.418152,-0.3894596
576,0.7085750699043274,13,Long (12-14),4,0,1,1,26.418972,28.571766,-2.152794
577,0.85346519947052,8,Short (<=8),1,1,1,1,33.077015,30.375374,2.701641
578,0.7242346405982971,15,Very Long (>14),2,0,1,1,29.926205,31.48622,-1.5600147
579,0.7892470955848694,18,Very Long (>14),2,0,1,1,29.554829,29.740757,-0.18592834
580,0.7178834080696106,18,Very Long (>14),2,0,1,1,28.75647,28.845306,-0.08883667
