sentence_index,sink_score,sentence_length,length_group,rank,hit@1,hit@5,hit@10,sim_pos,sim_neg_top1,sim_margin
445,0.6685909032821655,16,Very Long (>14),1,1,1,1,30.882116,26.225555,4.656561
446,0.7754848003387451,10,Medium (9-11),249,0,0,0,21.43938,28.971525,-7.5321445
447,0.8182165026664734,6,Short (<=8),1,1,1,1,29.171606,24.82042,4.3511868
448,0.8318361639976501,12,Long (12-14),5,0,1,1,27.954632,29.155025,-1.2003937
449,0.8479718565940857,8,Short (<=8),1,1,1,1,31.071075,26.717545,4.353531
450,0.8242514729499817,8,Short (<=8),12,0,0,0,27.202166,28.24414,-1.041975
451,0.7786222696304321,11,Medium (9-11),1,1,1,1,30.740786,28.399569,2.341217
452,0.8195447325706482,12,Long (12-14),7,0,0,1,27.060656,28.420757,-1.3601017
453,0.8122760653495789,7,Short (<=8),95,0,0,0,23.90792,28.809559,-4.901638
454,0.8118160367012024,8,Short (<=8),9,0,0,1,27.5169,28.656813,-1.1399136
455,0.45347729325294495,24,Very Long (>14),1,1,1,1,36.167507,27.73863,8.428877
456,0.6466605067253113,21,Very Long (>14),1,1,1,1,32.017933,27.321207,4.696726
457,0.9025576710700989,7,Short (<=8),1,1,1,1,30.018324,28.325033,1.6932907
458,0.6626169681549072,16,Very Long (>14),5,0,1,1,25.780546,27.987906,-2.2073593
459,0.7726715207099915,9,Medium (9-11),1,1,1,1,27.007523,26.851898,0.15562439
460,0.849609911441803,8,Short (<=8),2,0,1,1,28.46977,28.480316,-0.010545731
461,0.8019448518753052,8,Short (<=8),200,0,0,0,21.53,28.052145,-6.5221443
462,0.6619998812675476,13,Long (12-14),47,0,0,0,19.790388,27.136961,-7.346573
463,0.7406004667282104,16,Very Long (>14),3,0,1,1,29.116737,30.988205,-1.8714676
464,0.6537483334541321,12,Long (12-14),1,1,1,1,33.629925,26.958323,6.6716022
465,0.6968127489089966,10,Medium (9-11),2,0,1,1,26.565212,29.945396,-3.3801842
466,0.692046582698822,11,Medium (9-11),42,0,0,0,23.859596,29.093302,-5.2337055
467,0.8660258650779724,7,Short (<=8),1,1,1,1,31.944824,30.365953,1.5788708
468,0.7341977953910828,19,Very Long (>14),21,0,0,0,24.718546,27.571178,-2.8526325
469,0.8257609009742737,10,Medium (9-11),30,0,0,0,24.947163,28.310776,-3.3636131
470,0.6965780258178711,15,Very Long (>14),1,1,1,1,34.776115,27.078289,7.6978264
471,0.8897937536239624,12,Long (12-14),5,0,1,1,27.401833,27.939224,-0.53739166
472,0.8488519191741943,7,Short (<=8),17,0,0,0,24.989027,26.272911,-1.283884
473,0.8357458114624023,10,Medium (9-11),2,0,1,1,28.32385,29.659908,-1.3360577
474,0.7892599105834961,10,Medium (9-11),1,1,1,1,30.347935,29.483582,0.8643532
475,0.7913395762443542,15,Very Long (>14),7,0,0,1,25.280756,26.91298,-1.6322231
476,0.8150030374526978,12,Long (12-14),1,1,1,1,30.279016,28.682386,1.5966301
477,0.6916895508766174,14,Long (12-14),2,0,1,1,30.640486,30.981108,-0.34062195
478,0.6438248157501221,14,Long (12-14),3,0,1,1,27.924686,28.33224,-0.40755272
479,0.8933765292167664,8,Short (<=8),2,0,1,1,27.005123,27.041828,-0.036705017
480,0.7640289664268494,10,Medium (9-11),1,1,1,1,30.612867,27.527761,3.085106
481,0.8441970944404602,8,Short (<=8),9,0,0,1,24.575523,29.11875,-4.5432262
482,0.7992908358573914,12,Long (12-14),1,1,1,1,29.751015,28.888489,0.86252594
483,0.6598673462867737,10,Medium (9-11),8,0,0,1,26.282776,27.914768,-1.6319923
484,0.7787988185882568,11,Medium (9-11),27,0,0,0,24.317545,29.445448,-5.127903
485,0.5932775139808655,14,Long (12-14),1,1,1,1,31.77541,27.12487,4.6505394
486,0.8278554081916809,8,Short (<=8),1,1,1,1,28.88528,28.277052,0.6082287
487,0.7086032032966614,13,Long (12-14),3,0,1,1,26.02865,26.435398,-0.40674782
488,0.7732260227203369,12,Long (12-14),15,0,0,0,24.621391,27.023638,-2.4022465
489,0.525270402431488,12,Long (12-14),4,0,1,1,27.606735,33.63949,-6.032753
490,0.6992316246032715,6,Short (<=8),40,0,0,0,23.647184,26.441162,-2.7939777
491,0.8495694994926453,8,Short (<=8),1,1,1,1,28.897392,28.133696,0.7636967
492,0.5807631611824036,11,Medium (9-11),1,1,1,1,32.87311,25.575336,7.2977753
493,0.8787083029747009,8,Short (<=8),4,0,1,1,28.54663,29.977146,-1.4305153
494,0.5000605583190918,25,Very Long (>14),1,1,1,1,31.039312,28.3343,2.7050133
495,0.6754218935966492,12,Long (12-14),1,1,1,1,31.719547,29.867107,1.8524399
496,0.8264032602310181,6,Short (<=8),1,1,1,1,30.27445,27.7047,2.5697498
497,0.702532947063446,16,Very Long (>14),1,1,1,1,29.648945,27.493742,2.1552029
498,0.7911649346351624,7,Short (<=8),45,0,0,0,24.357368,29.1363,-4.7789307
499,0.7330926656723022,14,Long (12-14),1,1,1,1,30.429333,23.420918,7.008415
500,0.5316752791404724,24,Very Long (>14),1,1,1,1,34.095562,28.815186,5.2803764
501,0.6532976627349854,12,Long (12-14),1,1,1,1,33.27409,26.64531,6.6287804
502,0.804951012134552,10,Medium (9-11),2,0,1,1,29.781538,30.025011,-0.24347305
503,0.8436859250068665,13,Long (12-14),4,0,1,1,26.726454,27.937254,-1.2108002
504,0.7102260589599609,13,Long (12-14),1,1,1,1,31.12697,27.890726,3.2362442
505,0.9326683282852173,8,Short (<=8),58,0,0,0,24.240093,26.991295,-2.7512016
506,0.7530717849731445,10,Medium (9-11),2,0,1,1,27.272177,28.91389,-1.6417141
507,0.7762178778648376,8,Short (<=8),1,1,1,1,33.502853,31.07454,2.4283142
508,0.7874881625175476,13,Long (12-14),1,1,1,1,32.3292,30.136507,2.1926937
509,0.8188656568527222,11,Medium (9-11),17,0,0,0,24.002962,28.966288,-4.9633255
510,0.8254305720329285,7,Short (<=8),1,1,1,1,28.822163,26.8427,1.9794636
511,0.8526398539543152,8,Short (<=8),1,1,1,1,30.657219,26.39155,4.265669
512,0.5479679107666016,9,Medium (9-11),1,1,1,1,29.127321,28.42032,0.70700073
513,0.9136301279067993,8,Short (<=8),9,0,0,1,25.651896,27.470736,-1.81884
514,0.8050516843795776,9,Medium (9-11),1,1,1,1,29.401878,28.087547,1.314331
515,0.8015209436416626,12,Long (12-14),7,0,0,1,25.648716,29.8643,-4.215584
516,0.788713276386261,12,Long (12-14),1,1,1,1,31.466728,24.410545,7.056183
517,0.74419105052948,14,Long (12-14),1,1,1,1,30.982742,27.030426,3.9523163
518,0.7603672742843628,6,Short (<=8),1,1,1,1,29.228174,28.605145,0.6230297
519,0.7493289709091187,11,Medium (9-11),1,1,1,1,28.919931,28.678349,0.24158287
520,0.9079212546348572,7,Short (<=8),44,0,0,0,23.769224,28.750484,-4.9812603
521,0.6922178864479065,18,Very Long (>14),1,1,1,1,30.247232,26.62785,3.6193829
522,0.7837485074996948,14,Long (12-14),1,1,1,1,31.348934,26.209969,5.1389656
523,0.6907047033309937,12,Long (12-14),2,0,1,1,26.92064,27.146404,-0.22576332
524,0.8511452674865723,7,Short (<=8),1,1,1,1,30.539713,28.77567,1.7640438
525,0.8278067111968994,10,Medium (9-11),2,0,1,1,26.662354,29.960632,-3.2982788
526,0.8316644430160522,8,Short (<=8),1,1,1,1,32.234276,30.252644,1.9816322
527,0.934855043888092,7,Short (<=8),11,0,0,0,25.996803,26.750288,-0.7534847
528,0.8402690291404724,8,Short (<=8),2,0,1,1,28.355885,30.659904,-2.30402
529,0.777232825756073,14,Long (12-14),8,0,0,1,26.382149,29.171265,-2.789116
530,0.8352398872375488,18,Very Long (>14),8,0,0,1,26.769325,28.561142,-1.7918167
531,0.7695882320404053,10,Medium (9-11),1,1,1,1,36.87247,35.302452,1.5700188
532,0.7851952314376831,8,Short (<=8),26,0,0,0,25.732597,27.643002,-1.9104042
533,0.7626801133155823,12,Long (12-14),5,0,1,1,28.397131,30.76145,-2.3643188
534,0.6398646831512451,14,Long (12-14),4,0,1,1,24.45625,25.993126,-1.5368767
535,0.8436187505722046,9,Medium (9-11),9,0,0,1,25.134912,28.020063,-2.885151
536,0.7929970026016235,10,Medium (9-11),42,0,0,0,23.588276,30.116117,-6.5278416
537,0.6220515370368958,7,Short (<=8),1,1,1,1,33.366196,23.559097,9.807098
538,0.6468372344970703,13,Long (12-14),1,1,1,1,33.633034,28.748507,4.884527
539,0.7987882494926453,9,Medium (9-11),1,1,1,1,30.397875,30.289877,0.107997894
540,0.8048893809318542,11,Medium (9-11),26,0,0,0,23.450544,27.819199,-4.3686543
541,0.7789243459701538,9,Medium (9-11),16,0,0,0,24.998705,27.698765,-2.70006
542,0.6827172636985779,12,Long (12-14),1,1,1,1,33.2032,28.229671,4.97353
543,0.9002856016159058,6,Short (<=8),9,0,0,1,26.217354,27.901245,-1.6838913
544,0.8341504335403442,8,Short (<=8),2,0,1,1,28.913858,28.923119,-0.009260178
545,0.6770414710044861,20,Very Long (>14),1,1,1,1,30.58868,28.07392,2.514761
546,0.7031806111335754,15,Very Long (>14),1,1,1,1,28.560156,27.66703,0.89312553
547,0.8644869923591614,10,Medium (9-11),2,0,1,1,27.913471,28.252516,-0.33904457
548,0.6956915259361267,15,Very Long (>14),4,0,1,1,28.144407,28.313631,-0.16922379
549,0.6054456830024719,16,Very Long (>14),31,0,0,0,24.653927,26.799416,-2.1454887
550,0.531583309173584,13,Long (12-14),1,1,1,1,33.287785,25.622812,7.6649723
551,0.5956374406814575,15,Very Long (>14),1,1,1,1,31.603123,26.283234,5.319889
552,0.7798973917961121,11,Medium (9-11),1,1,1,1,30.190845,29.302866,0.8879795
553,0.6887909770011902,15,Very Long (>14),1,1,1,1,31.76002,30.846712,0.9133072
554,0.8600766062736511,11,Medium (9-11),1,1,1,1,30.13649,29.21959,0.91690063
555,0.8601216077804565,11,Medium (9-11),1,1,1,1,28.997946,28.991789,0.0061569214
556,0.7198673486709595,24,Very Long (>14),1,1,1,1,31.648117,28.269297,3.3788204
557,0.900294303894043,8,Short (<=8),37,0,0,0,25.635338,26.884975,-1.2496376
558,0.7800689935684204,15,Very Long (>14),2,0,1,1,25.821522,26.520288,-0.6987667
559,0.5718871355056763,21,Very Long (>14),1,1,1,1,34.16985,28.179192,5.990658
560,0.6496282815933228,10,Medium (9-11),2,0,1,1,31.827438,32.214962,-0.38752365
561,0.8017023205757141,6,Short (<=8),2,0,1,1,26.74734,27.11696,-0.36962128
562,0.7011247277259827,14,Long (12-14),1,1,1,1,33.81565,30.568197,3.2474537
563,0.7636557221412659,7,Short (<=8),1,1,1,1,33.580345,25.95433,7.6260147
564,0.7480499148368835,12,Long (12-14),5,0,1,1,29.245281,30.353598,-1.1083164
565,0.5829594731330872,8,Short (<=8),1,1,1,1,30.789244,29.116604,1.6726398
566,0.5841907262802124,17,Very Long (>14),1,1,1,1,33.616756,28.104015,5.512741
567,0.8369479179382324,8,Short (<=8),6,0,0,1,26.208288,27.602123,-1.3938351
568,0.8059112429618835,13,Long (12-14),1,1,1,1,30.291456,29.551733,0.7397232
569,0.9182851910591125,8,Short (<=8),3,0,1,1,26.794851,26.914055,-0.11920357
570,0.8302496671676636,11,Medium (9-11),1,1,1,1,30.471209,26.974895,3.496313
571,0.6569913625717163,17,Very Long (>14),1,1,1,1,28.484291,23.123512,5.360779
572,0.8263829946517944,8,Short (<=8),3,0,1,1,27.185158,28.898132,-1.7129745
573,0.7949687242507935,10,Medium (9-11),18,0,0,0,25.333103,28.464258,-3.131155
